Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
10786,DECIDUOUS,Fraxinus,americana,White Ash,40.0,60.0,40.01003978,-105.2741584
10789,DECIDUOUS,Fraxinus,americana,White Ash,12.0,30.0,40.01014218,-105.2739601
10793,DECIDUOUS,Fraxinus,americana,White Ash,12.0,30.0,40.01002841,-105.2739407
10795,DECIDUOUS,Fraxinus,americana,White Ash,40.0,70.0,40.01007672,-105.2738131
10828,DECIDUOUS,Fraxinus,americana,White Ash,20.0,40.0,40.01033979,-105.2733629
10830,DECIDUOUS,Fraxinus,americana,White Ash,12.0,40.0,40.01025109,-105.2732744
11187,DECIDUOUS,Tilia,americana,American Linden,21.0,43.0,40.0077835,-105.2725606
11188,DECIDUOUS,Acer,saccharinum,Silver Maple,30.0,65.0,40.00791504,-105.2723455
11194,DECIDUOUS,Syringa,reticulata,Tree Lilac,15.0,15.0,40.00810215,-105.2722327
11202,DECIDUOUS,Celtis,occidentalis,Common Hackberry,35.0,50.0,40.00816727,-105.2726974
11667,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,30.0,45.0,40.00842482,-105.2735919
11672,CONIFEROUS,Picea,pungens,Blue Spruce,10.0,21.0,40.00904435,-105.2720301
11624,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,20.0,50.0,40.00935134,-105.274656
12368,DECIDUOUS,Quercus,bicolor,Swamp White Oak,20.0,24.0,40.00959121,-105.2723981
12369,DECIDUOUS,Magnolia,None,Magnolia,12.0,12.0,40.00959764,-105.272473
12370,DECIDUOUS,Crataegus,phaenopyrum,Washington Hawthorn,10.0,15.0,40.00955137,-105.2727119
12371,DECIDUOUS,Crataegus,phaenopyrum,Washington Hawthorn,15.0,15.0,40.00955135,-105.2728083
12366,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,30.0,55.0,40.00964776,-105.2722233
12419,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,50.0,40.00968087,-105.2732851
12423,CONIFEROUS,Pinus,flexilis,Limber Pine,16.0,35.0,40.00953623,-105.272054
12477,DECIDUOUS,Gymnocladus,dioicus,Kentucky Coffeetree,20.0,54.0,40.00833971,-105.2730267
13546,CONIFEROUS,Picea,pungens,Blue Spruce,4.0,9.0,40.0091491,-105.2711891
12487,DECIDUOUS,Pyrus,None,Pear,8.0,20.0,40.00805503,-105.273112
12542,CONIFEROUS,Thuja,None,Arborvitae,5.0,7.0,40.00823978,-105.2736165
12618,CONIFEROUS,Larix,None,Larch,12.0,30.0,40.00843066,-105.2748967
12622,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,25.0,53.0,40.00816392,-105.275006
